breaks,subregion,scale,value
5390,desert,Decadal,0.6058307488715053
5390,plateau,Decadal,0.06633888709741687
5390,MW,Decadal,0.263817844490144
5380,desert,Decadal,0.8060826824644929
5380,plateau,Decadal,0.12150605959939664
5380,MW,Decadal,0.2840362506535854
5370,desert,Decadal,0.8355327229770504
5370,plateau,Decadal,0.14545153010836476
5370,MW,Decadal,0.25131028377645137
5360,desert,Decadal,0.739173050750952
5360,plateau,Decadal,0.16709028347421384
5360,MW,Decadal,0.19864033514365165
5350,desert,Decadal,0.656842688504411
5350,plateau,Decadal,0.16999221552542743
5350,MW,Decadal,0.1671330562482698
5340,desert,Decadal,0.5745291021050258
5340,plateau,Decadal,0.13490965849707326
5340,MW,Decadal,0.1273936597533165
5330,desert,Decadal,0.4917438538641239
5330,plateau,Decadal,0.16584179671443877
5330,MW,Decadal,0.11949049582065108
5320,desert,Decadal,0.4757050287784059
5320,plateau,Decadal,0.15592905587131778
5320,MW,Decadal,0.11944677667432568
5310,desert,Decadal,0.42500997513719163
5310,plateau,Decadal,0.2084566026192336
5310,MW,Decadal,0.13703929307231633
5300,desert,Decadal,0.4240061298270925
5300,desert,Centennial,0.471216729998547
5300,plateau,Decadal,0.21414014926848246
5300,plateau,Centennial,0.10854827758439711
5300,MW,Decadal,0.147826361910397
5300,MW,Centennial,0.1449420071715002
5290,desert,Decadal,0.47301045252818863
5290,plateau,Decadal,0.13973616866818084
5290,MW,Decadal,0.1370460776048521
5280,desert,Decadal,0.490829947048943
5280,plateau,Decadal,0.0551742855831483
5280,MW,Decadal,0.141107633221349
5270,desert,Decadal,0.463948956290805
5270,plateau,Decadal,0.018586355777294727
5270,MW,Decadal,0.16090850014163216
5260,desert,Decadal,0.3514357729866191
5260,plateau,Decadal,-0.05444961223365352
5260,MW,Decadal,0.134850970125866
5250,desert,Decadal,0.27782728605996176
5250,plateau,Decadal,-0.09345149655605178
5250,MW,Decadal,0.11092930283833624
5240,desert,Decadal,0.34830270088614945
5240,plateau,Decadal,-0.03899086295974241
5240,MW,Decadal,0.14015182323290354
5230,desert,Decadal,0.3913060531222312
5230,plateau,Decadal,0.04779791548235046
5230,MW,Decadal,0.1320131071231634
5220,desert,Decadal,0.34118234678994774
5220,plateau,Decadal,0.12329854587027622
5220,MW,Decadal,0.0976009655365484
5210,desert,Decadal,0.31515298593653984
5210,plateau,Decadal,0.18011084367124397
5210,MW,Decadal,0.07598777827866332
5200,desert,Decadal,0.20423508393543344
5200,desert,Centennial,0.16973510774584977
5200,plateau,Decadal,0.11810644576364382
5200,plateau,Centennial,0.03723338738703674
5200,MW,Decadal,0.04305553447214727
5200,MW,Centennial,0.05529222527149713
5190,desert,Decadal,0.08810271780146373
5190,plateau,Decadal,0.0572080251545426
5190,MW,Decadal,0.018892209586174324
5180,desert,Decadal,3.3860470671776e-4
5180,plateau,Decadal,-0.004991257519360026
5180,MW,Decadal,-7.606676622584629e-4
5170,desert,Decadal,-0.02798994025449142
5170,plateau,Decadal,-0.08039450656370795
5170,MW,Decadal,-0.01651741570499743
5160,desert,Decadal,-0.0014318161896453852
5160,plateau,Decadal,-0.09678599790714504
5160,MW,Decadal,-0.017919966170643065
5150,desert,Decadal,-0.030739248972622146
5150,plateau,Decadal,0.02149902584041019
5150,MW,Decadal,0.0019553568755936723
5140,desert,Decadal,-0.10864973525066546
5140,plateau,Decadal,0.11737571976324634
5140,MW,Decadal,0.011055829999628841
5130,desert,Decadal,-0.09461581413267028
5130,plateau,Decadal,0.06584180967119657
5130,MW,Decadal,-0.004804896977295137
5120,desert,Decadal,-0.08750935354067124
5120,plateau,Decadal,0.04580185671787529
5120,MW,Decadal,-0.013115876675173777
5110,desert,Decadal,-0.06029753889135181
5110,plateau,Decadal,0.021439923210309075
5110,MW,Decadal,-0.010928238427820869
5100,desert,Decadal,-0.061589055122623915
5100,desert,Centennial,-0.0546816546846407
5100,plateau,Decadal,0.04252946622467224
5100,plateau,Centennial,0.08144175713555857
5100,MW,Decadal,1.6263015327755426e-4
5100,MW,Centennial,1.9176088272843117e-5
5090,desert,Decadal,-0.10911838415168518
5090,plateau,Decadal,0.11096318848422548
5090,MW,Decadal,0.011523436909133267
5080,desert,Decadal,-0.11965960993032265
5080,plateau,Decadal,0.16987078360868324
5080,MW,Decadal,0.01742681266094781
5070,desert,Decadal,-0.07426639152254833
5070,plateau,Decadal,0.14881346439206133
5070,MW,Decadal,0.003491629088214765
5060,desert,Decadal,0.02888134883103355
5060,plateau,Decadal,0.1777169449839855
5060,MW,Decadal,0.008533601144211644
5050,desert,Decadal,0.08693432518855904
5050,plateau,Decadal,0.2036258102778188
5050,MW,Decadal,0.015719071998421263
5040,desert,Decadal,0.019475619182252046
5040,plateau,Decadal,0.15412372848662148
5040,MW,Decadal,0.0014284282507714963
5030,desert,Decadal,-0.05484347622334296
5030,plateau,Decadal,0.07308919859090324
5030,MW,Decadal,-0.018170736451483815
5020,desert,Decadal,-0.0667106487493907
5020,plateau,Decadal,0.020106869066616184
5020,MW,Decadal,-0.02894062520423235
5010,desert,Decadal,-0.062363127837872234
5010,plateau,Decadal,0.03805644542838049
5010,MW,Decadal,-0.025795883377277562
5000,desert,Decadal,-0.022568310817350223
5000,desert,Centennial,-0.042905768202328165
5000,plateau,Decadal,0.11803248679258527
5000,plateau,Centennial,0.1063297687888598
5000,MW,Decadal,-0.006430102382581904
5000,MW,Centennial,-0.012787416286608178
4990,desert,Decadal,0.00673898082901303
4990,plateau,Decadal,0.1475718148505223
4990,MW,Decadal,0.0027845802194725877
4980,desert,Decadal,-0.015834439704909276
4980,plateau,Decadal,0.1234706820665954
4980,MW,Decadal,-0.005359833009721537
4970,desert,Decadal,-0.04077342398368655
4970,plateau,Decadal,0.12899415171108153
4970,MW,Decadal,-0.00860413560691553
4960,desert,Decadal,-0.09701767006115025
4960,plateau,Decadal,0.1615103186777933
4960,MW,Decadal,-0.01791225403190433
4950,desert,Decadal,-0.1357298181557276
4950,plateau,Decadal,0.0971228756839082
4950,MW,Decadal,-0.059438671305156454
4940,desert,Decadal,-0.12360353282687697
4940,plateau,Decadal,0.02254181805165789
4940,MW,Decadal,-0.07242459057605899
4930,desert,Decadal,-0.10860495494627864
4930,plateau,Decadal,0.010134007762974129
4930,MW,Decadal,-0.03313271758333958
4920,desert,Decadal,-0.09274428394706602
4920,plateau,Decadal,0.04471738081763821
4920,MW,Decadal,0.017657287393069154
4910,desert,Decadal,-0.09040366508999975
4910,plateau,Decadal,0.048084024159900096
4910,MW,Decadal,0.032303504565844854
4900,desert,Decadal,-0.0744554853747359
4900,desert,Centennial,-0.09257496862855596
4900,plateau,Decadal,0.04310819137405275
4900,plateau,Centennial,0.07689117290319292
4900,MW,Decadal,0.03183484527515823
4900,MW,Centennial,0.021174221318465136
4890,desert,Decadal,-0.051417509668150174
4890,plateau,Decadal,0.05840318617804652
4890,MW,Decadal,0.03854126616185116
4880,desert,Decadal,-0.03924754943972486
4880,plateau,Decadal,0.08471797725575492
4880,MW,Decadal,0.053049247910008646
4870,desert,Decadal,-0.07245967975254564
4870,plateau,Decadal,0.13079781598732687
4870,MW,Decadal,0.07493443110011544
4860,desert,Decadal,-0.12902409844961493
4860,plateau,Decadal,0.13598291550762642
4860,MW,Decadal,0.07673431607195802
4850,desert,Decadal,-0.14835383334029784
4850,plateau,Decadal,0.09941986102264266
4850,MW,Decadal,0.0520150938490449
4840,desert,Decadal,-0.1421259791661189
4840,plateau,Decadal,0.08215500581476576
4840,MW,Decadal,0.031118968891363785
4830,desert,Decadal,-0.144409207221885
4830,plateau,Decadal,0.09087588054712548
4830,MW,Decadal,0.04082501209612399
4820,desert,Decadal,-0.15274904760771424
4820,plateau,Decadal,0.09979645367230727
4820,MW,Decadal,0.05283385773717786
4810,desert,Decadal,-0.1617742448408177
4810,plateau,Decadal,0.10662668989260826
4810,MW,Decadal,0.0590377492907912
4800,desert,Decadal,-0.1621459322060259
4800,desert,Centennial,-0.11717786697109656
4800,plateau,Decadal,0.11819357174349676
4800,plateau,Centennial,0.09107944280599689
4800,MW,Decadal,0.06850704270262575
4800,MW,Centennial,0.06262955953024729
4790,desert,Decadal,-0.14117706620232484
4790,plateau,Decadal,0.13254955792723067
4790,MW,Decadal,0.07704720232541984
4780,desert,Decadal,-0.14929248618440472
4780,plateau,Decadal,0.1310288880076449
4780,MW,Decadal,0.07764627708475302
4770,desert,Decadal,-0.16235645656589304
4770,plateau,Decadal,0.08896496230119677
4770,MW,Decadal,0.06272113692964432
4760,desert,Decadal,-0.11586481315555286
4760,plateau,Decadal,0.01969614843402301
4760,MW,Decadal,0.05256425474924331
4750,desert,Decadal,-0.02341470389477518
4750,plateau,Decadal,6.6511457674778285e-6
4750,MW,Decadal,0.08344732570897406
4740,desert,Decadal,0.06577624957488926
4740,plateau,Decadal,0.029821201631063943
4740,MW,Decadal,0.09928963307066496
4730,desert,Decadal,0.04376898963882603
4730,plateau,Decadal,0.05496448690338607
4730,MW,Decadal,0.0729417746901051
4720,desert,Decadal,0.02645690152129898
4720,plateau,Decadal,0.0505580032006403
4720,MW,Decadal,0.039511290666283116
4710,desert,Decadal,0.06307368835538618
4710,plateau,Decadal,0.04124166789243322
4710,MW,Decadal,0.02607218683563506
4700,desert,Decadal,0.04942731409118828
4700,desert,Centennial,0.038234920145430173
4700,plateau,Decadal,0.0242840145759482
4700,plateau,Centennial,0.033763530516095486
4700,MW,Decadal,0.01451371914211741
4700,MW,Centennial,0.04722315281810996
4690,desert,Decadal,0.011145852505389797
4690,plateau,Decadal,0.005057030287614062
4690,MW,Decadal,0.00321345062332945
4680,desert,Decadal,0.009575371340986294
4680,plateau,Decadal,0.0017368777782911238
4680,MW,Decadal,0.004903122057431375
4670,desert,Decadal,0.07082957722264194
4670,plateau,Decadal,0.007618111080187617
4670,MW,Decadal,0.033357941672074176
4660,desert,Decadal,0.12758629748657047
4660,plateau,Decadal,0.025790660129776377
4660,MW,Decadal,0.05430636626120311
4650,desert,Decadal,0.11786465427854331
4650,plateau,Decadal,0.05923836168275631
4650,MW,Decadal,0.06924693878784804
4640,desert,Decadal,0.0922323939771097
4640,plateau,Decadal,0.07604390031465957
4640,MW,Decadal,0.08018779308607282
4630,desert,Decadal,0.13009263154746264
4630,plateau,Decadal,0.0631770400295828
4630,MW,Decadal,0.08826819545739717
4620,desert,Decadal,0.17709398503307217
4620,plateau,Decadal,0.01671865146621876
4620,MW,Decadal,0.1110913850241646
4610,desert,Decadal,0.18676994705606464
4610,plateau,Decadal,-0.028926652053251622
4610,MW,Decadal,0.09363591377808955
4600,desert,Decadal,0.19616362293064515
4600,desert,Centennial,0.14965531320705328
4600,plateau,Decadal,-0.050046587641761064
4600,plateau,Centennial,-0.007297205270062612
4600,MW,Decadal,0.07552142489712921
4600,MW,Centennial,0.07924035176347655
4590,desert,Decadal,0.16607325799886663
4590,plateau,Decadal,-0.06356069171344902
4590,MW,Decadal,0.07002223210923475
4580,desert,Decadal,0.14395064791468126
4580,plateau,Decadal,-0.04469541783915787
4580,MW,Decadal,0.08366525933942714
4570,desert,Decadal,0.15718423664488057
4570,plateau,Decadal,-0.006140670760790279
4570,MW,Decadal,0.10208019779276434
4560,desert,Decadal,0.16820126600090024
4560,plateau,Decadal,0.02629329297523242
4560,MW,Decadal,0.1112942542412565
4550,desert,Decadal,0.15877389660181596
4550,plateau,Decadal,-0.0016272833926800345
4550,MW,Decadal,0.09695705638435026
4540,desert,Decadal,0.1517968317533036
4540,plateau,Decadal,-0.05637033364753741
4540,MW,Decadal,0.07117505448941408
4530,desert,Decadal,0.16136952473331245
4530,plateau,Decadal,-0.06497640998678333
4530,MW,Decadal,0.06432783045613455
4520,desert,Decadal,0.14870301053342416
4520,plateau,Decadal,-0.07100328561746583
4520,MW,Decadal,0.027804185304547424
4510,desert,Decadal,0.11150873737457712
4510,plateau,Decadal,-0.04493615598475387
4510,MW,Decadal,-0.04470317359411835
4500,desert,Decadal,0.18165099648177474
4500,desert,Centennial,0.15459834774997905
4500,plateau,Decadal,-0.025982515048450505
4500,plateau,Centennial,-0.03177152692666052
4500,MW,Decadal,-0.05770022006308384
4500,MW,Centennial,-0.02081515253818944
4490,desert,Decadal,0.20917062608605264
4490,plateau,Decadal,-0.01976042387549226
4490,MW,Decadal,-0.054662553954454296
4480,desert,Decadal,0.20080467098477772
4480,plateau,Decadal,-0.025155537965504404
4480,MW,Decadal,-0.06116879009835374
4470,desert,Decadal,0.12769003747259422
4470,plateau,Decadal,-0.03241675425886825
4470,MW,Decadal,-0.08691599289658569
4460,desert,Decadal,0.08350290064333965
4460,plateau,Decadal,-0.03439918000228692
4460,MW,Decadal,-0.09770367937410596
4450,desert,Decadal,0.15818183170894784
4450,plateau,Decadal,-0.02886291065451463
4450,MW,Decadal,-0.09037867768275643
4440,desert,Decadal,0.19798659374334893
4440,plateau,Decadal,-0.02521413781320092
4440,MW,Decadal,-0.08480573223232923
4430,desert,Decadal,0.13491284151472271
4430,plateau,Decadal,-0.02620446462445747
4430,MW,Decadal,-0.10330570757783875
4420,desert,Decadal,0.058748192021629286
4420,plateau,Decadal,0.006193227200124163
4420,MW,Decadal,-0.13955677285196755
4410,desert,Decadal,0.048707740630482554
4410,plateau,Decadal,0.04908715634892591
4410,MW,Decadal,-0.12932012453626962
4400,desert,Decadal,0.06465873926826404
4400,desert,Centennial,0.11364767152997057
4400,plateau,Decadal,0.06146457140752126
4400,plateau,Centennial,0.032186649463028516
4400,MW,Decadal,-0.12250540727112291
4400,MW,Centennial,-0.13054977718484073
4390,desert,Decadal,0.12782664017048084
4390,plateau,Decadal,0.07072464642445819
4390,MW,Decadal,-0.13126375177495708
4380,desert,Decadal,0.15088169602630597
4380,plateau,Decadal,0.06165154231450032
4380,MW,Decadal,-0.15195415745382634
4370,desert,Decadal,0.14960451653500684
4370,plateau,Decadal,0.034674942386669905
4370,MW,Decadal,-0.15959068536061105
4360,desert,Decadal,0.13449906121849597
4360,plateau,Decadal,0.011349065288523974
4360,MW,Decadal,-0.16166951212174263
4350,desert,Decadal,0.13881069801442436
4350,plateau,Decadal,0.03020750316604648
4350,MW,Decadal,-0.16561462053520382
4340,desert,Decadal,0.10641585263202469
4340,plateau,Decadal,0.09611415351820085
4340,MW,Decadal,-0.16907038357181214
4330,desert,Decadal,0.05763805561191937
4330,plateau,Decadal,0.14456310708488296
4330,MW,Decadal,-0.20333930219896823
4320,desert,Decadal,0.02542881880365222
4320,plateau,Decadal,0.16647104519935674
4320,MW,Decadal,-0.19781250246201365
4310,desert,Decadal,0.03351129994961788
4310,plateau,Decadal,0.13061341112550195
4310,MW,Decadal,-0.12091891583303482
4300,desert,Decadal,0.010495693659651195
4300,desert,Centennial,0.0249389345727824
4300,plateau,Decadal,0.08351368830754602
4300,plateau,Centennial,0.093675683141492
4300,MW,Decadal,-0.06911450896391891
4300,MW,Centennial,-0.12235525144996817
4290,desert,Decadal,0.01137967224695835
4290,plateau,Decadal,0.06099370969649964
4290,MW,Decadal,-0.04591664958215613
4280,desert,Decadal,-0.01190920393999706
4280,plateau,Decadal,0.07680251280528516
4280,MW,Decadal,-0.06532592891258515
4270,desert,Decadal,0.0090874298198651
4270,plateau,Decadal,0.07916164200227893
4270,MW,Decadal,-0.06718874164518551
4260,desert,Decadal,0.030426826136165097
4260,plateau,Decadal,0.080109806444284
4260,MW,Decadal,-0.06795602206510765
4250,desert,Decadal,-0.07908840275951956
4250,plateau,Decadal,0.11129904417959136
4250,MW,Decadal,-0.1245966986835434
4240,desert,Decadal,-0.14138067414803945
4240,plateau,Decadal,0.11416070148104751
4240,MW,Decadal,-0.15399902070168947
4230,desert,Decadal,-0.11326395123705257
4230,plateau,Decadal,0.11740341673434074
4230,MW,Decadal,-0.15801978085582258
4220,desert,Decadal,-0.06559538593173819
4220,plateau,Decadal,0.12214541876773843
4220,MW,Decadal,-0.1543556800613577
4210,desert,Decadal,-0.05040985699666933
4210,plateau,Decadal,0.12043106985102359
4210,MW,Decadal,-0.14808371464093417
4200,desert,Decadal,-0.08063199246528541
4200,desert,Centennial,-0.10873932295165645
4200,plateau,Decadal,0.11689378131500838
4200,plateau,Centennial,0.09320860523636121
4200,MW,Decadal,-0.15254181951568357
4200,MW,Centennial,-0.1437731860897129
4190,desert,Decadal,-0.15352004604872738
4190,plateau,Decadal,0.10139148406460574
4190,MW,Decadal,-0.16474556091223835
4180,desert,Decadal,-0.17381207013376088
4180,plateau,Decadal,0.08195399956705263
4180,MW,Decadal,-0.16677415407603258
4170,desert,Decadal,-0.1812814081048164
4170,plateau,Decadal,0.07934524188444314
4170,MW,Decadal,-0.17115182140875485
4160,desert,Decadal,-0.18180404782655035
4160,plateau,Decadal,0.07598229991472305
4160,MW,Decadal,-0.17052804161286073
4150,desert,Decadal,-0.18702010083511134
4150,plateau,Decadal,0.07108419731736149
4150,MW,Decadal,-0.16998138975721222
4140,desert,Decadal,-0.16149230984311425
4140,plateau,Decadal,0.057197614921333795
4140,MW,Decadal,-0.15368063114488129
4130,desert,Decadal,-0.11124674800114809
4130,plateau,Decadal,0.030499348840939966
4130,MW,Decadal,-0.1058517975178086
4120,desert,Decadal,-0.07510808483081055
4120,plateau,Decadal,0.009999330141963192
4120,MW,Decadal,-0.06553638206601153
4110,desert,Decadal,-0.0741923578149506
4110,plateau,Decadal,0.006333474799391503
4110,MW,Decadal,-0.0624962275513119
4100,desert,Decadal,-0.1171914709236277
4100,desert,Centennial,-0.1364415329021429
4100,plateau,Decadal,0.028328650872433414
4100,plateau,Centennial,0.014053546412950979
4100,MW,Decadal,-0.10886725110501594
4100,MW,Centennial,-0.07878467101997133
4090,desert,Decadal,-0.14566869958250184
4090,plateau,Decadal,0.03875971087694552
4090,MW,Decadal,-0.1362429927999398
4080,desert,Decadal,-0.1362152213252643
4080,plateau,Decadal,0.00722519478906225
4080,MW,Decadal,-0.08738527016688424
4070,desert,Decadal,-0.17682573041395422
4070,plateau,Decadal,-0.012260885695036805
4070,MW,Decadal,-0.04536655432355596
4060,desert,Decadal,-0.23771026906388437
4060,plateau,Decadal,-0.027865173146424116
4060,MW,Decadal,-0.015118042049766522
4050,desert,Decadal,-0.16205556121191567
4050,plateau,Decadal,-0.06016670495361254
4050,MW,Decadal,0.05421940489354071
4040,desert,Decadal,-0.048635812237385334
4040,plateau,Decadal,-0.0475194570065951
4040,MW,Decadal,0.049725129995303874
4030,desert,Decadal,-0.06917236359973433
4030,plateau,Decadal,-0.0543762021332328
4030,MW,Decadal,0.06463883089058431
4020,desert,Decadal,-0.14243253711626602
4020,plateau,Decadal,-0.07397359785200619
4020,MW,Decadal,0.08808986446786626
4010,desert,Decadal,-0.17299597853236426
4010,plateau,Decadal,-0.07664924772241566
4010,MW,Decadal,0.08028460923121816
4000,desert,Decadal,-0.21416826500042507
4000,desert,Centennial,-0.20393002139391658
4000,plateau,Decadal,-0.08649982291610847
4000,plateau,Centennial,-0.05267365475672969
4000,MW,Decadal,0.09007552719866307
4000,MW,Centennial,0.07699951451294318
3990,desert,Decadal,-0.25836669534785583
3990,plateau,Decadal,-0.09170602766943592
3990,MW,Decadal,0.10594698683654702
3980,desert,Decadal,-0.289088342953292
3980,plateau,Decadal,-0.07865132643058992
3980,MW,Decadal,0.10729144268877278
3970,desert,Decadal,-0.31083683823909247
3970,plateau,Decadal,-0.057889175993519615
3970,MW,Decadal,0.10339499623568393
3960,desert,Decadal,-0.3227972414408642
3960,plateau,Decadal,-0.050376391834494605
3960,MW,Decadal,0.09721684565440203
3950,desert,Decadal,-0.3344520593431377
3950,plateau,Decadal,-0.048492315815884535
3950,MW,Decadal,0.09779217275764918
3940,desert,Decadal,-0.35425462435619837
3940,plateau,Decadal,-0.01957775475474044
3940,MW,Decadal,0.11308751904479664
3930,desert,Decadal,-0.2504492867896668
3930,plateau,Decadal,0.05262758728044048
3930,MW,Decadal,0.1303614337915926
3920,desert,Decadal,0.05272220446022047
3920,plateau,Decadal,0.08868586170107662
3920,MW,Decadal,0.12120649049263132
3910,desert,Decadal,0.2340816895660014
3910,plateau,Decadal,0.09042547849107407
3910,MW,Decadal,0.12144230131301281
3900,desert,Decadal,0.16042178815727226
3900,desert,Centennial,-0.05723746637359417
3900,plateau,Decadal,0.09221041814833075
3900,plateau,Centennial,0.07049560395031573
3900,MW,Decadal,0.1184521917675152
3900,MW,Centennial,0.09538125332431147
3890,desert,Decadal,-0.1289805820243073
3890,plateau,Decadal,0.08377433961224146
3890,MW,Decadal,0.12117438650272039
3880,desert,Decadal,-0.23573084514643128
3880,plateau,Decadal,0.08364680046375472
3880,MW,Decadal,0.10123663433967423
3870,desert,Decadal,-0.015024947522190857
3870,plateau,Decadal,0.12714689455139982
3870,MW,Decadal,0.06095529155396573
3860,desert,Decadal,0.20230035321888717
3860,plateau,Decadal,0.14860549852462324
3860,MW,Decadal,0.02776059885882809
3850,desert,Decadal,0.12273299199443422
3850,plateau,Decadal,0.14347819298889952
3850,MW,Decadal,0.03445936696724328
3840,desert,Decadal,-0.11749869469371843
3840,plateau,Decadal,0.1138774151633104
3840,MW,Decadal,0.07577940966143615
3830,desert,Decadal,-0.05859920727572243
3830,plateau,Decadal,0.11960317431851664
3830,MW,Decadal,0.06121078861325291
3820,desert,Decadal,0.2919108940183657
3820,plateau,Decadal,0.14197854319497605
3820,MW,Decadal,0.0253167690041467
3810,desert,Decadal,0.40962655493110844
3810,plateau,Decadal,0.14189845443359772
3810,MW,Decadal,0.02482470563511807
3800,desert,Decadal,0.43858995366441444
3800,desert,Centennial,0.25458114183392055
3800,plateau,Decadal,0.14956789742630594
3800,plateau,Centennial,0.15061867137537988
3800,MW,Decadal,0.023063440915382927
3800,MW,Centennial,0.07254341121407659
3790,desert,Decadal,0.42677253573635276
3790,plateau,Decadal,0.18100056151733046
3790,MW,Decadal,0.07480116710982809
3780,desert,Decadal,0.3245550989539936
3780,plateau,Decadal,0.21703247362181433
3780,MW,Decadal,0.139993972090946
3770,desert,Decadal,0.3351054810298848
3770,plateau,Decadal,0.20004109022777605
3770,MW,Decadal,0.1360027378413564
3760,desert,Decadal,0.4200107347993143
3760,plateau,Decadal,0.15972878633012666
3760,MW,Decadal,0.08335044847060935
3750,desert,Decadal,0.434010096501547
3750,plateau,Decadal,0.14512574022116365
3750,MW,Decadal,0.06798702513211019
3740,desert,Decadal,0.31094786368002225
3740,plateau,Decadal,0.15193716285166747
3740,MW,Decadal,0.11606931211167737
3730,desert,Decadal,0.18660989798771066
3730,plateau,Decadal,0.11448272057741349
3730,MW,Decadal,0.13470558384705011
3720,desert,Decadal,-0.024774716918563033
3720,plateau,Decadal,0.08613645425843419
3720,MW,Decadal,0.1438283126321549
3710,desert,Decadal,-0.14615117122435128
3710,plateau,Decadal,0.08549400508861549
3710,MW,Decadal,0.14455487426474622
3700,desert,Decadal,-0.10374283435374831
3700,desert,Centennial,0.09818382669493086
